5,1,7,1520094143290,0
5,0,5,1520094158096,0
5,1,7,1520094164359,0
5,0,5,1520094176764,0
5,1,7,1520094186182,0
5,3,7,1520094191359,0
25,1,5,1520107423229,0
25,0,0,1520107436468,0
25,1,5,1520107440020,0
25,0,0,1520107446596,0
25,1,1,1520107455144,0
25,0,3,1520107469462,0
25,1,1,1520107478029,0
25,2,0,1520107490725,0
19,0,0,1520104624702,0
19,3,4,1520104631114,0
19,2,0,1520104641446,0
19,0,3,1520104674488,0
19,1,1,1520104699538,0
19,0,3,1520104738892,0
19,1,1,1520104740470,0
    
35,0,-1,1520113308352,0
35,1,7,1520113342801,0
35,0,-1,1520113355283,0
35,1,5,1520113358193,0
35,0,-1,1520113363075,0
35,1,5,1520113371122,0
35,0,-1,1520113374709,0
35,1,5,1520113390599,0
35,0,-1,1520113409713,0
35,1,5,1520113418577,0

39,0,0,1520115180260,0
39,1,5,1520115187900,0
39,0,5,1520115197214,0
39,3,5,1520115207106,0
39,1,5,1520115214516,0
39,0,5,1520115219566,0
39,1,5,1520115237787,0
39,0,3,1520115242301,0
39,3,1,1520115266009,0
47,1,4,1520119460960,0
47,1,1,1520119481456,0
47,0,3,1520119487899,0
47,1,1,1520119496877,0
47,0,3,1520119507726,0
47,1,1,1520119518607,0
47,0,-1,1520119535043,0
47,1,1,1520119538040,0
47,0,-1,1520119547877,0
47,1,1,1520119552956,0
47,1,-1,1520119562709,0
47,0,-1,1520119565774,0
47,0,1,1520119569309,0
47,1,1,1520119574108,0
47,0,-1,1520119577939,0
47,1,1,1520119579959,0

